estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.619673301829597,0.177505637791893,0.437592341365021,0.877517645310162,0.00701685603608463
iptw,RR,1.60638490553382,0.100353264332907,1.31955884208003,1.95555695012378,2.32188326556808e-06
tmle,ATE,-0.00525914680259189,0.00158633574680486,-0.00836830773371787,-0.00214998587146591,0.000915514492162855
iptw,ATE,0.00601578213333721,0.001524587258232,0.00302764601591381,0.0090039182507606,7.95196703467102e-05
tmle,RR,0.574417036905502,0.192756567891607,0.393688405250689,0.838111887184462,0.00402539843753814
iptw,RR,1.56358058713102,0.105867364112557,1.27059109149233,1.92413142892537,2.4207887319547e-05
tmle,ATE,-0.00580992546571825,0.00157907125114336,-0.00890484824698183,-0.00271500268445467,0.000233846791950485
iptw,ATE,0.005398135116019,0.00152146352666156,0.00241612139997105,0.00838014883206694,0.000388185150309423
tmle,RR,0.638072196727641,0.180080795179822,0.448316548823171,0.90814432192068,0.0125952681192636
iptw,RR,1.73463221812934,0.0982282944056748,1.43085403547453,2.10290418000213,2.05508508892877e-08
tmle,ATE,-0.0047813774333631,0.00157537323413209,-0.00786905223447038,-0.00169370263225583,0.00240475112165755
iptw,ATE,0.0068930553030356,0.00151602886220234,0.00392169333359579,0.00986441727247541,5.44719311296331e-06
tmle,RR,0.285216761810538,0.0568589296528752,0.255138874965346,0.318840479439829,7.09131459125919e-108
iptw,RR,0.238272967186592,0.0580942101586433,0.212630172607219,0.267008234042018,1.37411511371349e-134
tmle,ATE,-0.00956985835934374,0.000577384072031891,-0.0107015103457733,-0.00843820637291415,1.06526831723288e-61
iptw,ATE,-0.00745748145436147,0.000404585411824184,-0.00825045429020717,-0.00666450861851576,7.22031842991194e-76
tmle,RR,0.678564140230594,0.169841148366892,0.486431686421344,0.94658572880889,0.0224203367364017
iptw,RR,1.73952435021528,0.0946369915823692,1.4450249947279,2.09404333906466,4.92031875713402e-09
tmle,ATE,-0.00426863152493242,0.00158665211323397,-0.00737841252286536,-0.00115885052699948,0.00713795402767919
iptw,ATE,0.00728685002838687,0.00152720059108129,0.00429359187269926,0.0102801081840745,1.82970551037187e-06
tmle,RR,0.775277168996322,0.145967286742943,0.582383973161483,1.03205911643501,0.0811976493934699
iptw,RR,1.86954500549348,0.0870551916599823,1.57628379527746,2.21736627505606,6.60667090048065e-13
tmle,ATE,-0.00302726919464924,0.00155694510588056,-0.00607882552808103,2.42871387825488e-05,0.0518514804947061
iptw,ATE,0.00880276931354244,0.00152378637192961,0.00581620290442745,0.0117893357226574,7.60871566728496e-09
tmle,RR,0.673918876472985,0.167895780174908,0.484947219893219,0.936528004360173,0.0187462558227317
iptw,RR,1.58102555835738,0.101243369469409,1.29646375063969,1.92804605215218,6.05438277674799e-06
tmle,ATE,-0.00437919046259861,0.00156547881971956,-0.00744747256780922,-0.001310908357388,0.00515238599133118
iptw,ATE,0.00584549506862429,0.0015330579223232,0.00284075675465703,0.00885023338259157,0.000137309973933301
tmle,RR,0.70175221161473,0.161544507437164,0.511301251789024,0.963142892341996,0.0283485225422784
iptw,RR,1.60715825870685,0.103954521443688,1.3109085477031,1.97035687428795,5.01440878705434e-06
tmle,ATE,-0.00400409692086456,0.00156669306621116,-0.00707475890546707,-0.00093343493626206,0.0105955111697636
iptw,ATE,0.00588762426979846,0.00153466325375288,0.00287973956404575,0.00889550897555116,0.000124837039740873
tmle,RR,0.206040302909907,0.0617268136223223,0.182561930975327,0.232538110198581,1.89557993228232e-144
iptw,RR,0.241929806820188,0.0587662510848032,0.215609282847751,0.271463411291913,7.77180351238431e-129
tmle,ATE,-0.0107315541080105,0.000569273203355878,-0.0118473090839518,-0.00961579913206924,2.86574487321852e-79
